fold_id,held_out_episode_id,frozen_train_count,frozen_test_count,attack_type,n_train,n_test,lr_test_count,lstm_test_count,test_population_equal,lr_manifest,lstm_manifest
15,14-02-2018_SSH-Bruteforce_5,2658,24,SSH-Bruteforce,2775,12,12,24,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
16,14-02-2018_SSH-Bruteforce_6,2587,66,SSH-Bruteforce,2754,33,33,66,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
17,14-02-2018_SSH-Bruteforce_7,2696,12,SSH-Bruteforce,2781,6,6,12,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
18,14-02-2018_SSH-Bruteforce_8,2702,14,SSH-Bruteforce,2780,7,7,14,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
19,21-02-2018_DDOS-LOIC-UDP_0,2705,12,DDOS-LOIC-UDP,2786,1,1,12,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
20,21-02-2018_DDOS-LOIC-UDP_1,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
21,21-02-2018_DDOS-LOIC-UDP_10,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
22,21-02-2018_DDOS-LOIC-UDP_11,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
23,21-02-2018_DDOS-LOIC-UDP_12,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
24,21-02-2018_DDOS-LOIC-UDP_13,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
25,21-02-2018_DDOS-LOIC-UDP_14,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
26,21-02-2018_DDOS-LOIC-UDP_15,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
27,21-02-2018_DDOS-LOIC-UDP_16,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
28,21-02-2018_DDOS-LOIC-UDP_17,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
29,21-02-2018_DDOS-LOIC-UDP_2,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
30,21-02-2018_DDOS-LOIC-UDP_3,2706,7,DDOS-LOIC-UDP,2785,2,2,7,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
31,21-02-2018_DDOS-LOIC-UDP_4,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
32,21-02-2018_DDOS-LOIC-UDP_5,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
33,21-02-2018_DDOS-LOIC-UDP_6,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
34,21-02-2018_DDOS-LOIC-UDP_7,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
35,21-02-2018_DDOS-LOIC-UDP_8,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
36,21-02-2018_DDOS-LOIC-UDP_9,2706,6,DDOS-LOIC-UDP,2786,1,1,6,False,artifacts\lr_set_a\lr_37fold_loeo_fold_manifest.csv,artifacts\loeo\corrected_37fold_manifest.json
